,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
0,Винокуров Степан Николаевич,16-09-1986,Алексеева Ульяна Тимофеевна,20-10-1984,12-04-2023,52
1,Гусев Станислав Викторович,24-11-1981,Назарова Ульяна Арсеновна,15-09-1990,29-08-2023,614
2,Дубинин Мирон Егорович,09-12-1996,Козлова Мария Алексеевна,03-07-1989,23-10-2019,569
3,Шестаков Константин Степанович,15-03-1980,Михайлова София Алексеевна,19-09-1994,25-03-2019,181
4,Осипов Дмитрий Платонович,15-02-1996,Дубова Ксения Алексеевна,10-09-1994,05-03-2019,85
5,Иванов Даниил Сергеевич,15-07-1989,Куликова Дарья Георгиевна,25-03-1980,02-05-2022,288
6,Хромов Кирилл Александрович,23-09-1998,Козлова Мария Алексеевна,22-05-1991,19-04-2022,855
7,Воронин Савелий Иванович,25-01-1991,Суворова Стефания Артёмовна,08-02-1982,01-05-2022,521
8,Васильев Павел Артёмович,05-10-1991,Смирнова Дарья Леонидовна,18-10-1985,03-02-2022,752
9,Воробьев Савва Павлович,15-04-1982,Толкачева Софья Ивановна,13-05-1995,24-03-2021,952
10,Королев Владимир Даниилович,16-12-1985,Смирнова Дарья Леонидовна,30-03-1981,28-05-2020,535
11,Симонов Савва Дмитриевич,05-12-1981,Дубова Ксения Алексеевна,04-03-1995,26-02-2021,169
12,Кононов Виктор Максимович,29-12-1996,Дементьева Екатерина Никитична,20-08-1988,29-05-2022,797
13,Егоров Максим Даниилович,24-05-1985,Антипова София Игоревна,08-01-1993,17-11-2019,256
14,Лебедев Тимур Максимович,07-03-1988,Петровская Амира Тимофеевна,18-06-1993,14-06-2021,904
15,Иванов Иван Макарович,19-10-1995,Антипова София Игоревна,21-03-1994,16-08-2023,710
16,Белоусов Фёдор Даниилович,01-10-1987,Смирнова Варвара Борисовна,11-02-1990,21-07-2020,64
17,Белоусов Фёдор Даниилович,05-09-1985,Алексеева Арина Матвеевна,11-07-1983,15-07-2021,16
18,Кононов Виктор Максимович,20-09-1988,Петровская Амира Тимофеевна,02-07-1980,08-05-2019,192
19,Кочетков Андрей Леонидович,03-04-1990,Назарова Алина Михайловна,18-03-1993,22-08-2023,7
20,Гусев Богдан Александрович,28-06-1997,Емельянова Арина Артёмовна,26-02-1982,11-02-2019,290
21,Сергеев Марк Алиевич,20-03-1996,Толкачева Софья Ивановна,21-05-1989,01-11-2022,89
22,Смирнов Дамир Даниилович,30-05-1984,Комарова Мария Михайловна,27-02-1992,26-02-2021,734
23,Федоров Вячеслав Юрьевич,13-01-1999,Назарова Алина Михайловна,02-12-1991,10-01-2022,235
24,Ширяев Кирилл Ильич,02-09-1981,Кузьмина Айлин Степановна,08-08-1983,30-12-2019,949
25,Елисеев Денис Никитич,10-03-1987,Зайцева Вероника Саввична,09-09-1989,11-01-2022,621
26,Попов Степан Кириллович,19-03-1999,Хромова Варвара Леоновна,17-07-1990,01-02-2020,713
27,Королев Владимир Даниилович,13-08-1994,Григорьева Ксения Данииловна,25-07-1988,06-12-2019,626
28,Кононов Виктор Максимович,21-03-1983,Дементьева Екатерина Никитична,15-03-1991,02-06-2023,115
29,Казанцев Марк Назарович,03-04-1993,Петрова Аделина Данииловна,12-05-1991,11-03-2023,717
30,Муратов Вячеслав Дмитриевич,03-03-1995,Мартынова Полина Ивановна,08-05-1985,08-04-2021,635
31,Пантелеев Максим Алексеевич,03-08-1982,Петрова Аделина Данииловна,10-06-1980,01-09-2021,267
32,Родионов Михаил Дмитриевич,09-04-1993,Колесникова Злата Никитична,26-11-1987,09-04-2019,656
33,Царев Мартин Андреевич,18-08-1996,Маркова Мария Леоновна,03-06-1986,04-08-2022,653
34,Левин Артемий Степанович,25-05-1982,Смирнова Дарья Леонидовна,27-05-1992,20-04-2019,615
35,Аникин Фёдор Степанович,30-10-1991,Степанова Екатерина Владимировна,13-07-1998,15-08-2019,36
36,Иванов Иван Макарович,27-06-1980,Морозова Дарина Артёмовна,13-01-1986,09-09-2018,531
37,Винокуров Кирилл Алиевич,31-03-1999,Кузина Полина Ильинична,27-12-1987,21-02-2020,475
38,Новиков Виктор Маркович,01-09-1990,Хромова Варвара Леоновна,13-01-1985,06-10-2018,749
39,Новиков Виктор Маркович,17-01-1983,Суворова Стефания Артёмовна,21-11-1997,10-08-2018,108
40,Белов Евгений Артёмович,31-07-1984,Седова София Игоревна,20-05-1984,29-07-2018,501
41,Новиков Даниил Матвеевич,17-04-1996,Ермакова Анастасия Павловна,12-06-1994,14-02-2021,130
42,Иванов Иван Макарович,20-11-1991,Куликова Мелания Платоновна,19-01-1993,05-05-2021,470
43,Муратов Вячеслав Дмитриевич,01-08-1988,Павлова Агата Савельевна,13-12-1991,08-04-2021,507
44,Колесов Адам Петрович,26-01-1988,Лобанова Полина Андреевна,04-02-1982,02-06-2020,375
45,Макаров Давид Артурович,24-12-1982,Дубова Ксения Алексеевна,24-11-1986,13-09-2020,126
46,Власов Андрей Семёнович,13-03-1991,Кузьмина Айлин Степановна,21-11-1986,01-04-2021,758
47,Верещагин Даниил Демидович,11-12-1996,Седова София Игоревна,02-02-1995,25-04-2021,533
48,Смирнов Дмитрий Григорьевич,20-06-1992,Кошелева Эмилия Максимовна,26-02-1984,16-07-2020,243
49,Медведев Александр Платонович,18-01-1998,Павлова Александра Ярославовна,21-11-1998,17-11-2021,568
50,Медведев Артём Ярославович,13-03-1997,Кононова Алина Георгиевна,13-12-1985,02-02-2020,532
51,Симонов Савва Дмитриевич,01-12-1985,Смирнова Стефания Всеволодовна,14-01-1996,05-01-2022,566
52,Филатов Лука Андреевич,08-07-1995,Богомолова Лидия Вячеславовна,20-04-1996,08-02-2020,665
53,Смирнов Дамир Даниилович,13-10-1984,Николаева Алиса Григорьевна,11-11-1981,30-09-2020,143
54,Константинов Артемий Викторович,19-05-1992,Казакова Арина Александровна,24-08-1988,12-08-2021,733
55,Корнилов Олег Вадимович,19-04-1999,Васильева Полина Михайловна,23-09-1987,20-05-2022,605
56,Родионов Михаил Дмитриевич,06-12-1988,Куликова Мелания Платоновна,26-09-1981,03-03-2021,341
57,Васильев Давид Тимофеевич,11-12-1990,Тихомирова Ксения Львовна,19-05-1990,14-12-2023,561
58,Казанцев Марк Назарович,25-01-1986,Иванова Дарья Сергеевна,28-10-1991,12-03-2022,423
59,Савельев Роман Михайлович,13-05-1984,Петухова Алиса Алексеевна,18-07-1994,05-06-2023,744
60,Казанцев Марк Назарович,31-05-1988,Андреева Варвара Арсентьевна,12-11-1987,05-05-2021,737
61,Соловьев Илья Денисович,01-10-1983,Латышева Злата Михайловна,02-05-1996,12-04-2020,425
62,Егоров Максим Даниилович,10-10-1993,Мартынова Полина Ивановна,27-08-1988,23-08-2019,131
63,Петров Матвей Юрьевич,04-07-1988,Кочеткова Полина Робертовна,15-09-1988,30-09-2023,28
64,Князев Марк Вадимович,19-04-1992,Петухова Алиса Алексеевна,10-03-1998,04-11-2019,8
65,Ильин Матвей Максимович,28-09-1988,Васильева Анна Сергеевна,17-05-1992,26-12-2022,124
66,Осипов Максим Максимович,22-10-1999,Нечаева Алёна Александровна,09-03-1983,29-11-2018,561
67,Левин Артемий Степанович,27-06-1980,Петрова Юлия Никитична,05-07-1988,03-11-2023,839
68,Гусев Станислав Викторович,04-12-1988,Иванова Анна Григорьевна,26-05-1986,08-02-2023,395
69,Белов Евгений Артёмович,11-10-1987,Медведева София Ильинична,10-09-1980,14-02-2018,483
70,Иванов Михаил Сергеевич,11-03-1981,Михеева Аделина Елисеевна,05-02-1996,23-04-2019,816
71,Егоров Максим Даниилович,16-05-1989,Толкачева Софья Ивановна,17-12-1997,14-06-2021,328
72,Романов Вячеслав Савельевич,15-04-1986,Казакова Арина Александровна,19-08-1995,14-06-2022,127
