,0,1,2,3,4,5,6
0,4935.0,Константинов Артемий Викторович,28-09-1992,Назарова Вероника Платоновна,12-04-1981,28-11-2019,2
1,2853.0,Осипов Дмитрий Платонович,12-04-1982,Пахомова Майя Никитична,28-10-1986,16-12-2021,2
2,3573.0,Фетисов Кирилл Артемьевич,14-04-1997,Пирогова Агата Ивановна,23-06-1998,04-02-2023,2
3,2794.0,Давыдов Иван Матвеевич,31-12-1981,Смирнова Ясмина Ивановна,24-12-1995,29-10-2023,3
4,6739.0,Федоров Вячеслав Юрьевич,03-09-1999,Назарова Ульяна Арсеновна,01-01-1981,25-12-2019,4
5,8133.0,Белов Евгений Артёмович,30-08-1994,Хромова Варвара Леоновна,18-10-1988,12-11-2019,5
6,9175.0,Казаков Марк Михайлович,17-05-1994,Зайцева Ксения Артемьевна,10-03-1986,27-04-2021,8
7,5638.0,Пименов Демид Валерьевич,03-03-1983,Медведева София Ильинична,04-03-1987,26-02-2018,8
8,9671.0,Титов Артур Артёмович,20-12-1985,Дроздова Марина Михайловна,03-07-1989,20-08-2022,9
9,4178.0,Степанов Андрей Григорьевич,27-10-1990,Львова Дарина Марковна,29-07-1992,16-12-2022,10
10,7169.0,Марков Максим Александрович,09-11-1995,Вавилова Маргарита Никитична,14-04-1987,04-10-2020,11
11,5769.0,Дмитриев Тимофей Михайлович,22-07-1991,Архипова Варвара Макаровна,14-12-1988,03-11-2022,12
12,3483.0,Марков Максим Александрович,19-04-1992,Павловская Вероника Владимировна,02-06-1981,21-05-2022,16
13,4199.0,Гусев Богдан Александрович,10-07-1985,Антипова София Игоревна,03-03-1986,16-09-2022,18
14,2325.0,Царев Мартин Андреевич,03-07-1992,Павлова Агата Савельевна,24-05-1986,26-05-2022,19
15,4288.0,Казанцев Марк Назарович,09-03-1997,Толкачева Софья Ивановна,30-03-1988,16-03-2019,20
16,8426.0,Смирнов Лев Михайлович,03-06-1994,Нечаева Алёна Александровна,20-12-1994,11-09-2020,21
17,772.0,Казанцев Марк Назарович,08-02-1984,Кузьмина Айлин Степановна,21-12-1983,03-05-2023,24
18,2607.0,Титов Артур Артёмович,24-11-1992,Толкачева Софья Ивановна,11-08-1985,10-08-2022,24
19,9743.0,Верещагин Даниил Демидович,31-10-1983,Кузина Полина Ильинична,09-03-1988,30-11-2018,25
20,8961.0,Воронин Савелий Иванович,05-01-1983,Петровская Ева Егоровна,24-02-1995,03-09-2019,25
21,2312.0,Миронов Фёдор Григорьевич,20-05-1992,Тихомирова Ксения Львовна,26-11-1986,16-01-2022,25
22,7164.0,Симонов Савва Дмитриевич,17-04-1999,Назарова Ульяна Арсеновна,04-01-1983,03-03-2022,26
23,7102.0,Воронин Савелий Иванович,18-10-1986,Дроздова Марина Михайловна,04-01-1989,23-05-2023,27
24,7518.0,Муратов Вячеслав Дмитриевич,16-02-1989,Пахомова Майя Никитична,22-03-1991,05-09-2020,27
25,8822.0,Волков Герман Степанович,10-08-1999,Васильева Анна Сергеевна,10-05-1991,13-09-2021,30
26,2371.0,Круглов Роман Максимович,02-04-1996,Зайцева Вероника Саввична,17-02-1994,22-12-2020,31
27,249.0,Ефремов Дмитрий Всеволодович,13-11-1989,Тихомирова Ксения Львовна,07-04-1986,27-03-2023,32
28,8597.0,Круглов Роман Максимович,25-07-1997,Петрова Аделина Данииловна,31-05-1985,10-07-2023,32
29,6381.0,Новиков Даниил Матвеевич,30-08-1985,Колосова Виктория Дмитриевна,05-11-1996,25-11-2023,32
30,161.0,Фомин Лев Александрович,16-04-1988,Климова Александра Артемьевна,19-01-1984,12-04-2022,32
31,9637.0,Воронин Савелий Иванович,24-07-1987,Козлова Ясмина Михайловна,21-08-1993,27-08-2020,33
32,6156.0,Федоров Вячеслав Юрьевич,03-04-1988,Кузнецова Ксения Вячеславовна,24-09-1981,28-12-2022,33
33,3311.0,Филатов Лука Андреевич,30-09-1989,Кузьмина Айлин Степановна,17-08-1988,08-10-2022,34
34,8910.0,Буров Дмитрий Лукич ,20-02-1980,Кононова Алина Георгиевна,22-12-1993,23-08-2022,35
35,1047.0,Овчинников Владимир Алексеевич,14-12-1992,Борисова Вероника Савельевна,15-02-1989,12-02-2022,35
36,4280.0,Аникин Фёдор Степанович,17-08-1980,Павлова Агата Савельевна,18-12-1981,11-10-2021,36
37,9022.0,Медведев Александр Платонович,14-08-1991,Панина Таисия Денисовна,28-07-1993,20-03-2023,36
38,5592.0,Осипов Дмитрий Платонович,16-06-1987,Архипова Варвара Макаровна,11-12-1998,12-06-2023,38
39,9989.0,Иванов Даниил Сергеевич,08-11-1987,Васильева Анна Сергеевна,10-01-1985,27-03-2020,39
40,9258.0,Мельников Арсений Данилович,03-02-1992,Старостина Ульяна Даниэльевна,16-09-1981,24-01-2019,40
41,4079.0,Михайлов Артём Андреевич,22-03-1998,Дубова Ксения Алексеевна,02-10-1994,12-09-2021,41
42,1435.0,Федоров Вячеслав Юрьевич,10-07-1995,Антипова София Игоревна,03-07-1988,24-04-2021,41
43,1696.0,Крючков Алексей Васильевич,23-11-1990,Смирнова Варвара Борисовна,04-01-1992,15-01-2023,42
44,2712.0,Верещагин Даниил Демидович,15-11-1988,Колосова Виктория Дмитриевна,06-02-1999,07-09-2019,44
45,3116.0,Поликарпов Даниил Петрович,17-01-1983,Зайцева Виктория Никитична,22-07-1997,10-05-2018,44
46,9679.0,Муравьев Тимур Андреевич,13-07-1991,Смирнова Ясмина Ивановна,17-09-1991,03-08-2018,45
47,4593.0,Овчинников Владимир Алексеевич,20-03-1988,Назарова Ульяна Арсеновна,26-09-1997,03-12-2020,45
48,7840.0,Шестаков Константин Степанович,09-06-1999,Петрова Аделина Данииловна,22-01-1983,23-10-2019,46
49,5259.0,Белов Евгений Артёмович,15-10-1984,Баранова Дарья Владимировна,14-11-1981,01-02-2021,48
50,2051.0,Казаков Марк Михайлович,12-08-1984,Нечаева Алёна Александровна,06-04-1991,09-05-2020,49
51,4470.0,Симонов Савва Дмитриевич,24-10-1999,Смирнова Дарья Леонидовна,29-03-1981,22-05-2021,49
52,2710.0,Казаков Марк Михайлович,13-01-1983,Павловская Вероника Владимировна,22-08-1992,15-12-2019,52
